League,Season,Stage,Player,Team,GP,MIN,FGM,FGA,3PM,3PA,FTM,FTA,ORB,DRB,REB,AST,STL,BLK,PTS,TOV,PF
NBA,2016 - 2017,Playoffs,Ersan Ilyasova,ATL,6,90.4,8,23,1,5,7,9,14,17,31,2,1,0,24,5,7
NBA,2016 - 2017,Playoffs,Alex Abrines,OKC,5,80.1,8,23,5,17,3,4,2,7,9,4,0,0,24,0,8
NBA,2016 - 2017,Playoffs,Austin Rivers,LAC,3,90.2,9,26,4,13,2,2,1,7,8,2,1,1,24,5,6
NBA,2016 - 2017,Playoffs,Raulzinho Neto,UTA,9,60.4,8,13,3,6,4,4,0,7,7,4,1,1,23,3,8
NBA,2016 - 2017,Playoffs,Wayne Selden,MEM,6,106.1,9,26,2,11,3,4,3,6,9,7,1,1,23,2,8
NBA,2016 - 2017,Playoffs,Monta Ellis,IND,4,75.5,8,20,2,8,4,5,1,7,8,5,2,1,22,4,5
NBA,2016 - 2017,Playoffs,Allen Crabbe,POR,4,92.0,9,24,3,13,1,3,0,13,13,2,1,0,22,1,9
NBA,2016 - 2017,Playoffs,Paul Pierce,LAC,7,101.5,8,18,4,10,1,1,2,12,14,7,2,0,21,4,11
NBA,2016 - 2017,Playoffs,Bryn Forbes,SAS,6,72.8,6,21,2,9,6,6,0,6,6,3,0,1,20,2,5
NBA,2016 - 2017,Playoffs,Cristiano Felicio,CHI,6,82.1,9,15,0,0,1,2,7,19,26,2,3,2,19,7,16
NBA,2016 - 2017,Playoffs,Noah Vonleh,POR,4,100.2,8,18,0,0,2,5,9,20,29,8,1,4,18,6,11
NBA,2016 - 2017,Playoffs,Mike Muscala,ATL,6,80.8,5,18,0,4,7,8,6,10,16,2,1,3,17,1,12
NBA,2016 - 2017,Playoffs,Jason Terry,MIL,6,67.9,6,18,2,10,1,1,2,6,8,5,3,1,15,2,7
NBA,2016 - 2017,Playoffs,Ian Mahinmi,WAS,5,62.6,5,9,0,0,4,11,3,8,11,6,1,6,14,3,17
NBA,2016 - 2017,Playoffs,Troy Daniels,MEM,6,68.3,3,9,3,9,0,0,1,4,5,2,2,0,9,2,1
NBA,2016 - 2017,Playoffs,Matt Barnes,GSW,12,60.9,4,15,1,8,0,0,0,9,9,7,2,0,9,3,9
