GP,MIN,FGM,FGA,3PM,3PA,FTM,FTA,ORB,DRB,REB,AST,STL,BLK,PTS,TOV,PF,PTS_per_min,REB_per_min,AST_per_min,STL_per_min,BLK_per_min,TOV_per_min,3P_pct,FT_pct,FG_pct,EFF
1.0,1.0,1.0,1.0,0.611111111111111,0.622093023255814,1.0,1.0,0.2753623188405797,0.9337748344370861,0.8556149732620321,1.0,1.0,0.8214285714285714,1.0,1.0,0.711864406779661,0.7983552091998205,0.4012827238293006,0.6719648920900319,0.494406745498522,0.3059661381349093,0.6272507390486427,0.616822429906542,0.6975308641975309,0.6411445012787724,4.04979280564196
0.9333333333333333,0.7902895583503946,0.6915887850467289,0.8079999999999999,1.0,1.0,0.911504424778761,0.7037037037037037,0.3333333333333333,0.5298013245033112,0.5508021390374331,0.8071428571428572,0.9714285714285714,0.14285714285714285,0.8041237113402062,0.8055555555555555,0.6101694915254238,0.7981142111140289,0.30619078781333153,0.6730133514569651,0.5949151131824235,0.06591211717709719,0.6258877052818463,0.627906976744186,0.9035087719298246,0.4668502852646077,2.7418562226461507
1.0,0.867066393682363,0.794392523364486,0.9626666666666666,0.611111111111111,0.686046511627907,0.6725663716814159,0.5185185185185185,0.18840579710144928,0.2251655629139073,0.25133689839572193,0.6714285714285715,0.6571428571428571,0.2857142857142857,0.7852233676975944,0.6666666666666666,0.6271186440677966,0.7009190522239169,0.08118521711801073,0.508078548273869,0.3701017909076989,0.12123067503443986,0.47635083422623603,0.5593220338983051,0.9047619047619048,0.43160295845717855,2.1602688560135115
0.8,0.6912840011699326,0.6822429906542056,0.6906666666666667,0.5277777777777778,0.5,0.8141592920353982,0.6358024691358024,0.2318840579710145,0.6556291390728477,0.6149732620320856,0.45,0.34285714285714286,0.7142857142857142,0.7199312714776631,0.5277777777777778,0.6440677966101696,0.8088532489542167,0.40769744733609514,0.4137154290583352,0.23663477771525046,0.37141249296567247,0.46213968611267425,0.6627906976744187,0.8932038834951457,0.6215215482688858,2.549840851427066
0.6666666666666667,0.6523837379350685,0.5794392523364487,0.7253333333333333,0.29166666666666663,0.3546511627906977,0.6902654867256637,0.5740740740740741,0.10144927536231885,0.24503311258278146,0.2352941176470588,0.95,0.6,0.5357142857142857,0.5910652920962198,0.7638888888888888,0.423728813559322,0.6811980115363166,0.11875594547497008,0.9513573243004197,0.43585883514313917,0.29318854886475765,0.7040144784468575,0.5163934426229508,0.8387096774193549,0.3980668238206625,2.1783565486654117
0.8,0.6731500438724773,0.5046728971962617,0.6719999999999999,0.5,0.627906976744186,0.8053097345132744,0.6851851851851851,0.07246376811594203,0.2516556291390728,0.22994652406417113,0.7071428571428572,0.37142857142857144,0.07142857142857142,0.5841924398625429,0.6944444444444444,0.576271186440678,0.6490306884026489,0.1086227578499352,0.6815785269155171,0.2624591895525253,0.03802573458805375,0.6225593752000511,0.5,0.8198198198198198,0.3407707910750507,1.294377035251014
0.6000000000000001,0.5391927464170809,0.4813084112149532,0.5146666666666666,0.3472222222222222,0.31976744186046513,0.8407079646017699,0.6296296296296295,0.2753623188405797,0.46357615894039733,0.47593582887700536,0.38571428571428573,0.5714285714285714,0.21428571428571427,0.5549828178694158,0.3611111111111111,0.3389830508474576,0.773732180855873,0.39309914429666704,0.4439359909460354,0.4899790258680958,0.13842927056630136,0.3928377223646388,0.6818181818181817,0.931372549019608,0.5544554455445547,1.9872295753307805
0.6666666666666667,0.6507750804328749,0.5560747663551402,0.6666666666666666,0.40277777777777773,0.5872093023255814,0.4424778761061947,0.3765432098765432,0.21739130434782608,0.16556291390728478,0.21390374331550802,0.24285714285714285,0.6,0.2857142857142857,0.5395189003436427,0.375,0.6271186440677966,0.6114809211276723,0.10141724536633596,0.22471265923474235,0.4368074792243767,0.15670755836960798,0.3463593193510089,0.43069306930693063,0.819672131147541,0.4390682242344648,1.4909775187976952
0.5333333333333332,0.5064346300087743,0.40654205607476634,0.5573333333333333,0.4444444444444444,0.6686046511627907,0.8938053097345132,0.7098765432098765,0.10144927536231885,0.32450331125827814,0.29946524064171126,0.6571428571428571,0.6,0.17857142857142855,0.5223367697594501,0.8194444444444444,0.711864406779661,0.7687863797112956,0.23743446151783543,0.8178253237575579,0.5428141135972461,0.12171133513646416,0.9405376608474717,0.4173913043478261,0.8782608695652174,0.3140383397076423,1.3501161245340452
1.0,0.7563615092132201,0.42990654205607476,0.5573333333333333,0.6944444444444444,0.6453488372093024,0.5575221238938053,0.4629629629629629,0.5217391304347826,0.9999999999999999,0.9999999999999999,0.20714285714285713,0.6,0.5714285714285714,0.5051546391752577,0.4305555555555555,0.7627118644067797,0.4734579314238051,0.6494053377383568,0.16029966852170782,0.3822065443213297,0.27423822714681395,0.34796283471837475,0.6756756756756757,0.84,0.3633121377789249,2.5028956026818947
1.0,0.8544896168470313,0.5467289719626168,0.7013333333333333,0.5555555555555556,0.6627906976744186,0.18584070796460178,0.16666666666666666,0.2608695652173913,0.32450331125827814,0.3582887700534759,0.28571428571428575,0.6571428571428571,0.10714285714285714,0.5017182130584192,0.4305555555555555,0.6610169491525424,0.40391123792293515,0.15330783999381115,0.20366728562873407,0.3750387777260736,0.0460679385760813,0.31174706581872685,0.5263157894736842,0.7777777777777778,0.37490597261922687,1.462829597220387
