League,Season,Stage,Player,Team,GP,MIN,FGM,FGA,3PM,3PA,FTM,FTA,ORB,DRB,REB,AST,STL,BLK,PTS,TOV,PF,PTS_per_min,REB_per_min,AST_per_min,STL_per_min,BLK_per_min,TOV_per_min,3P_pct,FT_pct,FG_pct
NBA,2016 - 2017,Playoffs,J.J. Redick,LAC,7,205.7,19,50,9,26,17,20,0,12,12,6,2,0,64,13,17,0.31113271754982985,0.0583373845405931,0.02916869227029655,0.009722897423432183,0.0,0.0631988332523092,0.34615384615384615,0.85,0.38
NBA,2016 - 2017,Playoffs,Boris Diaw,UTA,11,202.8,24,48,6,14,9,10,3,18,21,22,7,4,63,14,12,0.3106508875739645,0.10355029585798815,0.10848126232741617,0.03451676528599605,0.01972386587771203,0.0690335305719921,0.42857142857142855,0.9,0.5
NBA,2016 - 2017,Playoffs,Dejounte Murray,SAS,11,168.2,23,61,0,3,17,25,4,23,27,27,16,1,63,16,14,0.37455410225921526,0.16052318668252083,0.16052318668252083,0.09512485136741974,0.005945303210463734,0.09512485136741974,0.0,0.68,0.3770491803278688
NBA,2016 - 2017,Playoffs,David Lee,SAS,15,245.2,25,48,0,1,11,17,20,37,57,11,4,5,61,6,20,0.24877650897226755,0.23246329526916804,0.044861337683523655,0.016313213703099513,0.020391517128874388,0.024469820554649267,0.0,0.6470588235294118,0.5208333333333334
NBA,2016 - 2017,Playoffs,Patrick McCaw,GSW,15,180.8,21,48,8,23,11,13,10,23,33,16,9,3,61,3,14,0.33738938053097345,0.1825221238938053,0.08849557522123894,0.0497787610619469,0.0165929203539823,0.0165929203539823,0.34782608695652173,0.8461538461538461,0.4375
NBA,2016 - 2017,Playoffs,Blake Griffin,LAC,3,99.4,25,51,4,6,7,7,3,15,18,7,2,1,61,6,2,0.6136820925553319,0.18108651911468812,0.0704225352112676,0.02012072434607646,0.01006036217303823,0.060362173038229376,0.6666666666666666,1.0,0.49019607843137253
NBA,2016 - 2017,Playoffs,Tony Snell,MIL,6,184.6,22,44,16,31,0,0,2,12,14,9,1,1,60,2,17,0.3250270855904659,0.07583965330444203,0.04875406283856988,0.005417118093174431,0.005417118093174431,0.010834236186348862,0.5161290322580645,0.0,0.5
NBA,2016 - 2017,Playoffs,Kent Bazemore,ATL,6,150.4,21,53,7,24,10,14,4,19,23,20,4,5,59,16,15,0.39228723404255317,0.1529255319148936,0.13297872340425532,0.026595744680851064,0.03324468085106383,0.10638297872340426,0.2916666666666667,0.7142857142857143,0.39622641509433965
NBA,2016 - 2017,Playoffs,Andre Roberson,OKC,5,185.4,24,46,7,17,3,21,18,13,31,9,12,17,58,7,15,0.3128371089536138,0.16720604099244876,0.04854368932038835,0.06472491909385113,0.09169363538295577,0.037756202804746494,0.4117647058823529,0.14285714285714285,0.5217391304347826
NBA,2016 - 2017,Playoffs,Vince Carter,MEM,6,194.7,20,42,8,20,7,7,4,16,20,9,2,0,55,10,15,0.2824858757062147,0.10272213662044172,0.04622496147919877,0.010272213662044172,0.0,0.05136106831022086,0.4,1.0,0.47619047619047616
NBA,2016 - 2017,Playoffs,Richard Jefferson,CLE,14,178.5,16,38,5,19,18,28,10,15,25,7,2,3,55,8,30,0.3081232492997199,0.1400560224089636,0.0392156862745098,0.011204481792717087,0.01680672268907563,0.04481792717086835,0.2631578947368421,0.6428571428571429,0.42105263157894735
